onset	duration	nwb_table	sound	match_mismatch	sound_freq1	sound_amp1	sound_freq2	sound_amp2	valve	lick	perf
233.913517270514	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	False	3.0
246.4057335712168	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	True	1.0
254.18186497682285	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
266.6680332425217	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	False	1.0
274.33011598805285	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
286.81032261924776	2.0	trials	True	False	8000.0	3.0	8000.0	3.0	False	False	4.0
294.35239507020015	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
306.8324289003949	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	False	1.0
314.61460834100495	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
327.1188343112156	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
339.5869448724026	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	False	3.0
352.06309068009483	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	False	1.0
359.6933780416052	2.0	trials	True	True	8000.0	3.0	16000.0	3.0	False	False	4.0
367.2653450655772	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	False	1.0
374.80741751652954	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	True	1.0
382.5954721911434	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	True	1.0
390.1315830075919	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
402.61178963878683	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
415.0979579044856	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	False	3.0
427.5900878046884	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	False	3.0
440.0702080353833	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	False	1.0
447.5344336357845	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	True	1.0
455.00436166918945	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	True	1.0
462.4745489040946	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	False	5.0
474.9547555352895	2.0	trials	True	True	8000.0	3.0	8000.0	3.0	False	True	3.0
487.42891413148055	2.0	trials	True	False	8000.0	3.0	16000.0	3.0	False	True	1.0
