onset	duration	nwb_table	Block	sound	sound_puretone	sound_freq	sound_amp
615.7758348462115	2.0	trials	0.0	True	True	10000.0	True
622.6646328293535	2.0	trials	0.0	True	True	10000.0	True
629.9305689795374	2.0	trials	0.0	True	True	10000.0	True
637.8868450964255	2.0	trials	0.0	True	True	10000.0	True
644.8870997199991	2.0	trials	0.0	True	True	10000.0	True
651.5007985224169	2.0	trials	0.0	True	True	10000.0	True
659.0190241222599	2.0	trials	0.0	True	True	10000.0	True
664.8336047329319	2.0	trials	0.0	True	True	10000.0	True
672.5712875937797	2.0	trials	0.0	True	True	10000.0	True
679.3950260030883	2.0	trials	0.0	True	True	10000.0	True
687.465177974309	2.0	trials	0.0	True	True	10000.0	True
693.982453822679	2.0	trials	0.0	True	True	10000.0	True
701.1415125587434	2.0	trials	0.0	True	True	10000.0	True
707.3618299007851	2.0	trials	0.0	True	True	10000.0	True
713.8713297044737	2.0	trials	0.0	True	True	10000.0	True
722.0569991394597	2.0	trials	0.0	True	True	10000.0	True
729.8276869899547	2.0	trials	0.0	True	True	10000.0	True
735.454692122815	2.0	trials	0.0	True	True	10000.0	True
741.7072368500355	2.0	trials	0.0	True	True	10000.0	True
747.7743661118562	2.0	trials	0.0	True	True	10000.0	True
754.8344962794756	2.0	trials	0.0	True	True	10000.0	True
761.8907384247544	2.0	trials	0.0	True	True	10000.0	True
769.5297519186465	2.0	trials	0.0	True	True	10000.0	True
776.3804472828502	2.0	trials	0.0	True	True	10000.0	True
782.519029755242	2.0	trials	0.0	True	True	10000.0	True
789.5945392112311	2.0	trials	0.0	True	True	10000.0	True
794.7335543400931	2.0	trials	0.0	True	True	10000.0	True
800.1886224850008	2.0	trials	0.0	True	True	10000.0	True
807.3286731118444	2.0	trials	0.0	True	True	10000.0	True
813.0355123034327	2.0	trials	0.0	True	True	10000.0	True
818.5131309779158	2.0	trials	0.0	True	True	10000.0	True
824.454893119375	2.0	trials	0.0	True	True	10000.0	True
831.3601935973405	2.0	trials	0.0	True	True	10000.0	True
838.0094894042992	2.0	trials	0.0	True	True	10000.0	True
844.8661464027585	2.0	trials	0.0	True	True	10000.0	True
850.1589544153169	2.0	trials	0.0	True	True	10000.0	True
857.657567102464	2.0	trials	0.0	True	True	10000.0	True
864.1075369640926	2.0	trials	0.0	True	True	10000.0	True
871.1698271441235	2.0	trials	0.0	True	True	10000.0	True
876.9962446228101	2.0	trials	0.0	True	True	10000.0	True
883.2902615883312	2.0	trials	0.0	True	True	10000.0	True
890.8641291078935	2.0	trials	0.0	True	True	10000.0	True
896.8561763382914	2.0	trials	0.0	True	True	10000.0	True
904.5180859637453	2.0	trials	0.0	True	True	10000.0	True
910.5903128548566	2.0	trials	0.0	True	True	10000.0	True
916.9991560801711	2.0	trials	0.0	True	True	10000.0	True
924.8727469219483	2.0	trials	0.0	True	True	10000.0	True
931.7884154594889	2.0	trials	0.0	True	True	10000.0	True
938.1446407824601	2.0	trials	0.0	True	True	10000.0	True
944.9409038338948	2.0	trials	0.0	True	True	10000.0	True
950.7369947383247	2.0	trials	0.0	True	True	10000.0	True
958.4110004332825	2.0	trials	0.0	True	True	10000.0	True
965.2689534391889	2.0	trials	0.0	True	True	10000.0	True
971.8625209259317	2.0	trials	0.0	True	True	10000.0	True
977.1906667415416	2.0	trials	0.0	True	True	10000.0	True
983.5938075340898	2.0	trials	0.0	True	True	10000.0	True
990.487184743544	2.0	trials	0.0	True	True	10000.0	True
996.7812881095613	2.0	trials	0.0	True	True	10000.0	True
1002.2236553814896	2.0	trials	0.0	True	True	10000.0	True
1007.4023283382262	2.0	trials	0.0	True	True	10000.0	True
1014.5259628707427	2.0	trials	0.0	True	True	10000.0	True
1020.4097502790779	2.0	trials	0.0	True	True	10000.0	True
1027.3223083987461	2.0	trials	0.0	True	True	10000.0	True
1033.7298556166136	2.0	trials	0.0	True	True	10000.0	True
1039.8200538109886	2.0	trials	0.0	True	True	10000.0	True
1046.5542813059662	2.0	trials	0.0	True	True	10000.0	True
1054.4408322222123	2.0	trials	0.0	True	True	10000.0	True
1059.5201446080214	2.0	trials	0.0	True	True	10000.0	True
1064.8839738286688	2.0	trials	0.0	True	True	10000.0	True
1070.319947463859	2.0	trials	0.0	True	True	10000.0	True
1075.9598262706916	2.0	trials	0.0	True	True	10000.0	True
1081.491272454469	2.0	trials	0.0	True	True	10000.0	True
1088.4205922704498	2.0	trials	0.0	True	True	10000.0	True
1095.2933197612506	2.0	trials	0.0	True	True	10000.0	True
1103.4345793410569	2.0	trials	0.0	True	True	10000.0	True
1111.3889546470227	2.0	trials	0.0	True	True	10000.0	True
1119.195066701066	2.0	trials	0.0	True	True	10000.0	True
