onset	duration	nwb_table	sound	match_mismatch	sound_freq1	sound_amp1	sound_freq2	sound_amp2	valve	lick	perf
46.75871368040325	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	2.0
54.32662099191487	2.0	trials	True	False	5000.0	3.0	5000.0	3.0	False	False	4.0
61.885110647537715	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	3.0
74.3893384534905	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	4.0
81.95024732347008	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	3.0
94.44730388686534	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	0.0
104.87550017267333	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	True	1.0
112.41213049857265	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	True	True	3.0
124.96215057627822	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	True	True	4.0
132.53040348984084	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	2.0
140.09113955879494	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	3.0
152.57212562682034	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	0.0
160.1302696803922	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	0.0
167.69005534370615	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	0.0
175.23834973882555	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	0.0
182.79830820316502	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	2.0
190.35213223109983	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	2.0
197.89446499084002	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	2.0
205.43697055160578	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	2.0
212.9989162277383	2.0	trials	True	False	5000.0	3.0	5000.0	3.0	False	False	4.0
220.5572330823356	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	1.0
228.14138369024258	2.0	trials	True	True	5000.0	3.0	12000.0	3.0	False	False	4.0
235.7071309889357	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	3.0
248.18932666413946	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	1.0
255.67022865932074	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	3.0
268.1616691893878	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	3.0
280.642050453824	2.0	trials	True	False	5000.0	3.0	5000.0	3.0	False	False	4.0
288.2020089181635	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	1.0
295.66684041797487	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	1.0
303.21539401463247	2.0	trials	True	False	5000.0	3.0	12000.0	3.0	False	False	1.0
311.0327396064278	2.0	trials	True	True	5000.0	3.0	5000.0	3.0	False	False	3.0
